Model,MAE,MSE,RMSE,R2,CV_RMSE
Linear Regression,2189373.120850523,8433113038149.452,2903982.2723545423,0.9407861015064383,2844013.9869783265
Ridge Regression,2190087.890214561,8431094497280.761,2903634.7045179014,0.940800274881509,2846266.3272196706
Lasso Regression,5964988.174897835,54374970661862.77,7373938.612564033,0.618201015592164,7431671.910155681
Decision Tree,2313333.3333333335,8852675208333.334,2975344.5528767477,0.937840106161111,2818218.317566893
Random Forest,1584147.7083333333,4444563572851.5625,2108213.3603721336,0.9687920777226098,2124902.109908155
Polynomial Regression,399344.1134282573,238986446087.8351,488862.3999530288,0.9983219341308525,552276.5297169848
Gradient Boosting (Tuned),1136172.203461025,2622176157341.387,1619313.4833445274,0.9815881428233384,1353347.6983111636
